repeat,random_state,noise_percent,method,theta,theta_over_pi,theta_abs_error,normalized_error,objective_error,mutual_information,si_score
6,48,10,MI-DL,0.7761295465754915,0.24704970763432177,0.002950292365678231,0.011801169462712924,0.017979371333936903,1.6338158638489295,
6,48,10,SI-DL,0.7779198729179599,0.24761958620862473,0.0023804137913752688,0.009521655165501075,0.014373937886522414,,0.9856260621134776
6,48,15,MI-DL,0.7747699631606911,0.2466169387922993,0.0033830612077007105,0.013532244830802842,0.028615702655814347,1.4541123638045752,
6,48,15,SI-DL,0.7736534718629792,0.2462615485743994,0.0037384514256005863,0.014953805702402345,0.02461377988591784,,0.9753862201140822
6,48,20,MI-DL,0.7732110274683077,0.24612071414948888,0.003879285850511116,0.015517143402044464,0.043507834419681424,1.2987254912006865,
6,48,20,SI-DL,0.7698498496607431,0.24505081802411952,0.0049491819758804845,0.019796727903521938,0.03857748865223076,,0.9614225113477692
6,48,25,MI-DL,0.7796123592936757,0.24815832135424643,0.001841678645753575,0.0073667145830143,0.0577095065821515,1.162389723447375,
6,48,25,SI-DL,0.7666928057055467,0.2440458997220637,0.005954100277936303,0.02381640111174521,0.05593860298030118,,0.9440613970196988
6,48,30,MI-DL,0.7637798318399254,0.24311867134244144,0.006881328657558555,0.02752531463023422,0.07493312095786663,1.0534038439266116,
6,48,30,SI-DL,0.7640946601544036,0.24321888430739044,0.006781115692609557,0.02712446277043823,0.07630853518870861,,0.9236914648112914
7,49,0,MI-DL,0.7860727704921849,0.2502147341075444,0.00021473410754441202,0.0008589364301776481,0.004364688199136167,2.079619777352428,
7,49,0,SI-DL,0.785393082872933,0.24999838281881978,1.6171811802190295e-06,6.468724720876118e-06,0.005905840686669439,,0.9940941593133306
7,49,5,MI-DL,0.7834499196975822,0.24937985476963734,0.000620145230362662,0.002480580921450648,0.01000741047577507,1.8501394487414435,
7,49,5,SI-DL,0.7876014098715041,0.25070131513439153,0.0007013151343915336,0.0028052605375661344,0.008223458141733087,,0.9917765418582669
7,49,10,MI-DL,0.7897024356731678,0.2513700924181883,0.0013700924181883067,0.005480369672753227,0.018662066047551204,1.6287753858650467,
7,49,10,SI-DL,0.7899222832070125,0.25144007206166424,0.0014400720616642437,0.005760288246656975,0.015720667716347725,,0.9842793322836523
7,49,15,MI-DL,0.793664655360593,0.2526313061159278,0.002631306115927823,0.010525224463711291,0.032216978958579875,1.437548048754059,
7,49,15,SI-DL,0.7923643763452759,0.25221741445055507,0.0022174144505550664,0.008869657802220265,0.028254098066146094,,0.9717459019338539
7,49,20,MI-DL,0.7955930311037706,0.25324512717925823,0.0032451271792582337,0.012980508717032935,0.04732702054138458,1.2837989319606953,
7,49,20,SI-DL,0.7948882554186346,0.25302079011113754,0.003020790111137539,0.012083160444550156,0.04552644874514267,,0.9544735512548573
7,49,25,MI-DL,0.7932463187171604,0.2524981454265703,0.0024981454265702863,0.009992581706281145,0.07138455359295158,1.1502403614379215,
7,49,25,SI-DL,0.7973984427458899,0.25381980755357614,0.0038198075535761378,0.015279230214304551,0.06710822143660111,,0.9328917785633989
7,49,30,MI-DL,0.8020574972362573,0.2553028306581291,0.005302830658129087,0.02121132263251635,0.09659709280066786,1.0415165756355478,
7,49,30,SI-DL,0.7997725398145187,0.25457550612128066,0.004575506121280659,0.018302024485122637,0.09246830724740829,,0.9075316927525917
8,50,0,MI-DL,0.7856514553208779,0.25008062532331815,8.062532331815087e-05,0.00032250129327260346,0.004162914616652442,2.0349804349061236,
8,50,0,SI-DL,0.7840188325073875,0.24956094534137496,0.0004390546586250377,0.0017562186345001507,0.004356867079224336,,0.9956431329207757
8,50,5,MI-DL,0.788086939910581,0.2508558641458689,0.000855864145868912,0.003423456583475648,0.0094497856527132,1.8198412084779028,
8,50,5,SI-DL,0.7827854049928381,0.2491683331696028,0.0008316668303972041,0.0033266673215888165,0.006805918888697082,,0.9931940811113029
8,50,10,MI-DL,0.7822509718505333,0.2489982178169029,0.0010017821830970997,0.004007128732388399,0.01695059654208456,1.6121920318307117,
8,50,10,SI-DL,0.7817171805704272,0.24882830677528642,0.0011716932247135825,0.00468677289885433,0.014114979219122747,,0.9858850207808773
8,50,15,MI-DL,0.7700488625356546,0.2451141657896817,0.004885834210318296,0.019543336841273184,0.026398854391217797,1.4409212182324431,
8,50,15,SI-DL,0.7807729602874133,0.24852775212446784,0.0014722478755321566,0.0058889915021286265,0.02604288703134139,,0.9739571129686586
8,50,20,MI-DL,0.7757782861236352,0.24693789795987053,0.0030621020401294663,0.012248408160517865,0.0414920246194281,1.2970848159157367,
8,50,20,SI-DL,0.7799263389951894,0.24825826419729927,0.0017417358027007335,0.006966943210802934,0.04223099860354107,,0.9577690013964589
8,50,25,MI-DL,0.7788052701658216,0.24790141690581902,0.0020985830941809835,0.008394332376723934,0.05580318140230654,1.1899714526295426,
8,50,25,SI-DL,0.7791589952470617,0.2480140110961689,0.0019859889038310874,0.00794395561532435,0.06222766684825065,,0.9377723331517493
8,50,30,MI-DL,0.7874709603776635,0.2506597917708544,0.000659791770854401,0.002639167083417604,0.07799934253028458,1.0756774390309944,
8,50,30,SI-DL,0.7784545634676127,0.24778978349662825,0.002210216503371748,0.008840866013486992,0.08551648071531037,,0.9144835192846896
9,51,0,MI-DL,0.7878487863400538,0.25078005750994015,0.0007800575099401463,0.0031202300397605853,0.005053581798001686,1.974206959793305,
9,51,0,SI-DL,0.7863173978786249,0.2502926014230795,0.0002926014230795193,0.0011704056923180772,0.0051039642291687,,0.9948960357708313
9,51,5,MI-DL,0.792655465787325,0.252310071097723,0.002310071097723021,0.009240284390892084,0.010512482874904732,1.8282707542842465,
9,51,5,SI-DL,0.7897830853535116,0.25139576400875935,0.0013957640087593481,0.0055830560350373926,0.006921119002618825,,0.9930788809973812
9,51,10,MI-DL,0.7911057977529528,0.2518167964420793,0.001816796442079327,0.007267185768317308,0.01645280546059077,1.6478233206069426,
9,51,10,SI-DL,0.7927843075690604,0.2523510827106029,0.002351082710602914,0.009404330842411657,0.013011754522713304,,0.9869882454772867
9,51,15,MI-DL,0.7970537261256087,0.25371008084540875,0.0037100808454087475,0.01484032338163499,0.029657864637856156,1.4537635649253886,
